,TIDE,IFNG,MSI_Score,CD274,CD8,Dysfunction,Exclusion,MDSC_Exclusion,CAF_Exclusion,TAM_Exclusion,CTL,Average_Exclusion
PD1_27,1.220326474323719,0.7235483132674223,0.5261498018567238,1.286106475262725,1.1866152542273125,1.220326474323719,-2.542187345864924,-0.2858317460132955,-0.0149810784230731,-0.0729524559462525,0.9875724136523948,-0.12458842679420702
PD1_29,0.7395111903501862,-1.1659476250618814,0.521264166370508,-1.931381706835989,-1.2192726086267072,0.4173985424067901,0.7395111903501862,0.0504620363943409,-0.0007263146390037,0.0609839730993605,-0.9605173997189655,0.036906564951565905
PD1_32,0.9534638648584148,-2.6133273310362632,0.6950289867991174,-1.5148184693307625,-2.1357051347589477,-2.305321935462518,0.9534638648584148,0.111619250881274,-0.0721523454455442,0.1140326978133718,-1.6774317228404372,0.051166534416367204
PD1_33,1.9211945546305849,-2.3979375604831272,0.2434081379812275,-0.6779440214523991,-1.5678235897972894,-0.6683374914050133,1.9211945546305849,0.1925498234897484,0.0369476763263194,0.0582759920756371,-1.3038064936829428,0.09592449729723496
PD1_36,0.2717531929001022,0.6247286473850947,0.4811959891867949,0.991970254568415,1.083821039234545,0.2717531929001022,-2.0060183850923834,-0.2477172600817535,-0.0397829786101768,-0.0055735251047206,0.6724522006902058,-0.09769125459888363
PD1_41,0.49386417140485,-0.8187369662796468,0.6132568256859697,-0.1050262480888335,-0.5561927886451274,-0.7250611576050583,0.49386417140485,0.0339930859232435,0.0367996257171037,0.0150505601761198,-0.4764039736113615,0.028614423938822336
PD1_43,2.3737401124401347,-2.8689572097154614,0.1382534101762164,-2.6113445202569907,-2.136074260835795,-1.554428604375832,2.3737401124401347,0.2434946630869471,0.0400598504326513,0.070340416202044,-2.0054657984453947,0.11796497657388079
PD1_44,2.046801276506313,-1.5402492790188926,0.3743814385539303,-2.015379877618108,-1.532390143636447,-0.7644034802568138,2.046801276506313,0.1822104460157463,0.0278826564005411,0.1026218347095756,-1.2603773349449474,0.10423831237528768
PD1_45,0.8587197183941025,2.583457531408422,0.5851349509002455,3.98619180662573,0.6610674321995259,0.8587197183941025,0.3474982574903059,-0.0011350808466411,0.1207685201758649,-0.0801062893926893,1.0975741633623552,0.0131757166455115
PD1_46,1.3108938168370985,1.083185493941273,0.2693093102704094,0.2393365192179688,1.3345218846054585,1.3108938168370985,-0.3053647428543103,-0.0910080588647183,0.1113738994008167,-0.0747246962763241,1.1974611793541352,-0.01811961858007523
PD1_49,1.9015685595569431,1.1128901923893884,0.6456266647062019,1.6686787104034493,2.061932944162927,1.9015685595569431,-3.7647861310519017,-0.4025874300516079,-0.03675354030339,-0.1126359438384262,1.502073067356069,-0.18399230473114137
PD1_50,2.443543638603804,-1.8155399793832745,0.4188983169017083,-2.9302957290292952,-2.33467915523873,-1.7000102955351142,2.443543638603804,0.1739963285043091,0.1198545457773329,0.0699833823374283,-1.985486640974281,0.1212780855396901
PD1_51,-0.7927442230610352,-0.623255492902979,0.3463687205196037,0.1739964062878929,0.10600716895393,1.3920928957231598,-0.7927442230610352,-0.1797962571299917,0.1380728268152711,-0.0917052968681068,-0.0242827336577897,-0.0444762423942758
PD1_53,0.5240013766811829,0.7385635246051081,0.7807353849136314,1.7261342474243526,0.5034519292463601,0.5240013766811829,-0.7690551726846272,-0.1255726372594635,0.0355117179365133,-0.025948497990614,0.8141061445404324,-0.03866980577118806
PD1_38,1.1796092178665312,-0.9435172668847036,0.1431853572929609,-1.1047223904029035,-2.01613999651738,0.8837148129843334,1.1796092178665312,0.049060478318286,0.0749558000105408,0.0429248006542984,-1.3961326505243474,0.0556470263277084
PD1_47,1.6629457557275298,2.877065819419606,0.5789915481436859,2.4387471177972446,3.022528484349019,1.6629457557275298,-2.818432041897607,-0.2423383538532787,-0.0733353267599684,-0.1062788835902928,2.931355961764438,-0.1406508547345133
